Ежемесячный доход,Сумма сбережений,Текущие кредиты и задолженности,Кредитная история,Стабильность дохода,Уровень безработицы,Инфляция,ВВП страны,Курс национальной валюты,Процентные ставки,Семейное положение,Наличие детей,Образование,Профессия,Жилищные условия,Сумма запрошенного кредита,Срок кредита,Цель кредита,Решение по предыдущим заявкам,Общая задолженность клиента,Доходы семьи,Расходы на обслуживание кредитов,Наличие недвижимости или ценных бумаг,Кредитный рейтинг,Долгосрочные финансовые обязательства,Платежные истории,Уровень долга по отношению к доходам,Степень риска кредитования,Региональные ставки безработицы,Экономическая активность региона,Размер валового регионального продукта,Средний доход населения в регионе,Уровень финансовой стабильности региона
827898.3623215334,901397,428613.345962485,246175.94399145708,494824.98322757526,39552,218219.67477677952,381696.1678284955,156765.63923570068,15.65211651767164,463047.4075989282,Нет,124918.4391595804,406910.26326937246,662508.3173281084,855689,944333,853925.8147793236,Отказано,452709.4314549271,511595.11289118713,335504.1203832299,Да,728027.5897703889,408193.53033963166,678947.5884063767,650851,235162.71243311852,782457.7505187083,358132.3537137787,957615.0142491257,59452.11479039545,648895
507740.69456402486,703361,588679.7991057014,992227.0704611228,636925.5860009592,555391,984840.6578657243,605454.9733254055,629440.2090496569,24.283930742236855,246288.0308798305,Да,26255.022582623904,952101.1488908869,853206.2698507743,453478,247148,397670.6035121287,Одобрено,434891.06389031233,419187.1584017673,971720.0678229851,Да,206389.07269304327,964208.7482114498,210273.9889394111,529526,330241.188153208,878607.389216961,629904.7373946104,281463.36492289393,88630.42163373098,324595
341989.82138020307,398260,910902.8354498915,231794.28465349006,152562.30467652914,38125,142945.08087200116,230152.9830118976,696765.5707692483,20.882500410110513,680265.7448659196,Нет,130380.01224085882,917432.8268358409,867790.213910722,281505,644430,374380.1279833923,Одобрено,919399.2706831882,446680.4074965957,913581.375613185,Нет,570950.8817337764,768946.2148893662,137956.65778601635,306191,568026.5163764906,925993.5283257262,225507.04456088843,748799.0999421161,681046.159190654,521971
410141.2815508994,918039,104584.3812025263,858871.6473246893,724000.8094600037,692932,728145.822510155,692472.3695679216,13124.83618594129,1.0969504598604318,688198.9790833705,Да,242895.87379039865,423810.4337017935,102560.19323655669,66295,797637,107533.49615899131,Отказано,28129.4164186196,900715.0362672566,970959.3129358788,Нет,415877.89453145355,36083.88713255526,572386.8361956243,832907,784350.7056335509,74433.5502732592,18906.31038471716,790644.6494245845,470445.6682381123,580526
280806.0987934653,145824,338292.2445238069,200793.57901185544,475181.06066916767,740662,269466.64268463536,486600.3649831947,906701.842977114,3.0669549823228026,726107.8384150843,Нет,908009.744878853,192510.21524998802,455929.84632683004,28616,210779,975478.177994831,Отказано,151886.203455912,573848.6680450044,691581.523571772,Да,31702.995224418366,602125.1140717189,294583.0621390251,357939,66204.04000435956,784257.8550964285,49258.475139752474,711391.7478412114,796843.0081480094,391213
556618.0195711746,31295,676344.3220067514,115513.36493946468,405779.23455502867,842158,914888.5464783097,439260.5481866607,665213.0877815093,5.356257561807961,77439.42756761044,Да,137797.11022729188,634198.1429642057,981873.5118571066,578637,189865,343008.0983032473,Одобрено,15427.845233411093,439968.8051356203,99202.33960688782,Да,966075.8589476658,229741.48425389882,526742.9272808464,647573,883965.5352111785,321628.34001418,766575.2840165951,768999.8174161415,155639.60412848587,129327
63365.962051590206,753058,991501.4515727108,428569.1862678723,937067.6525990769,214234,634490.4692682571,720842.3598128697,212386.36189014494,5.7173561432626805,937610.0188541001,Да,570678.7753635517,665373.962359696,672577.2830436415,178072,687946,382667.8614445614,Отказано,80405.7636002799,312845.7300892005,679241.1857750658,Да,737025.8358193799,90469.82083852847,661724.4843731965,125943,713682.478336506,345230.98695725575,167653.61795494735,991024.4635888678,797319.2802684383,324329
419984.3095946003,633597,508861.93481826095,999694.8385675546,739731.3283094274,169171,874351.2640229389,129717.80040157746,933738.0421455334,3.1617380096812786,30483.49376295098,Да,708627.4894722926,432918.8243865452,66976.50522799247,310306,456180,16077.469027257237,Одобрено,190281.8448298959,550397.2804030357,503237.8105580393,Нет,661768.2629028021,385408.2676112352,357874.9178881523,202880,807777.8765502212,496653.0013259651,793243.8715693813,31473.42160955776,551598.6766203509,907965
274222.9014442837,982995,785602.8997589306,900651.4851086504,238214.65929525174,760387,859481.8614821231,409585.8062356249,107204.94876628021,0.808862061290293,902804.4097234478,Нет,843180.3519664815,425874.6791070106,906384.6946263077,417262,974325,221566.18643379613,Отказано,311775.4059589143,618675.2123605036,357312.81569612934,Нет,754531.2428068874,330382.8253550876,86498.51448946785,781727,989218.6368597662,464357.15847947786,839163.5367782844,879388.8480468409,52909.926369720815,809396
926003.9826318285,604656,205426.55548154152,967512.7917715064,487116.80389479495,266273,484179.6481458408,501866.88606308005,848727.0302320143,9.893614219024219,966544.268984853,Да,587158.0591905206,467222.55689154996,245386.54203961592,539268,421180,873510.8327091102,Отказано,853266.4182758804,921761.5356152905,459707.0581723994,Нет,306669.1220404769,773015.851043407,651833.0731397537,720160,216430.8490884436,633118.6129461796,543182.6078913936,87713.59012173327,250900.12641259175,554211
