Географические координаты,Глубина землетрясений,Магнитуда,Тип грунта,Геологические структуры,История землетрясений,Активные сейсмические зоны,Распределение активностей,Глубина пластов,Тектонические движения,Сейсмогенные процессы,Интервал времени,Погодные условия,Сейсмографические данные,Эпицентры,Подготовленность,Геодинамические процессы
"49.395201109850916, 178.94864929249297",69.99153285063211,4.5,Глина,Гора,Низкая,Нет,Равномерное,5,Горизонтальные,Вулканические,29,Солнечно,Не доступны,Установлены,Средняя,Пассивные
"53.50091931813119, -170.68865105308612",65.97892051068249,7.0,Песок,Гора,Высокая,Да,Неравномерное,8,Горизонтальные,Волнообразные,26,Дождь,Не доступны,Не установлены,Средняя,Пассивные
"83.05648802719219, 26.734271116700853",65.49327240086994,2.4,Песок,Равнина,Средняя,Нет,Неравномерное,10,Вертикальные,Тектонические,40,Дождь,Доступны,Установлены,Высокая,Пассивные
"53.872807209583925, 81.37265016459389",58.491049018755675,6.7,Песок,Равнина,Средняя,Нет,Неравномерное,4,Сдвиговые,Тектонические,62,Снег,Не доступны,Не установлены,Низкая,Активные
"11.334695828623431, -132.41377514048872",9.327384157522784,4.8,Глина,Гора,Высокая,Нет,Равномерное,7,Горизонтальные,Волнообразные,51,Пасмурно,Доступны,Не установлены,Высокая,Пассивные
"0.16890244711172064, -148.80814734717887",96.5926023268994,1.3,Песок,Равнина,Средняя,Нет,Равномерное,2,Горизонтальные,Тектонические,32,Пасмурно,Не доступны,Не установлены,Высокая,Пассивные
"2.4752934677969307, 24.367490290152688",76.2358169164613,6.4,Песок,Ложе реки,Низкая,Да,Неравномерное,5,Сдвиговые,Тектонические,30,Снег,Доступны,Не установлены,Средняя,Активные
"53.225757907069074, 0.1831072581045703",77.99425031296849,2.2,Глина,Плато,Высокая,Да,Неравномерное,4,Вертикальные,Волнообразные,20,Дождь,Не доступны,Не установлены,Низкая,Активные
"11.356552623216832, 100.4343300336721",52.951634367997045,6.0,Скала,Ложе реки,Высокая,Да,Равномерное,5,Вертикальные,Тектонические,68,Дождь,Доступны,Не установлены,Средняя,Пассивные
"62.24406929567361, 48.652850309454266",14.71224311299854,1.8,Глина,Ложе реки,Высокая,Да,Равномерное,3,Горизонтальные,Волнообразные,56,Солнечно,Не доступны,Не установлены,Низкая,Пассивные
"0.11880707716754091, 170.05538635439314",77.33315837960804,7.1,Песок,Ложе реки,Высокая,Нет,Равномерное,6,Горизонтальные,Тектонические,44,Дождь,Доступны,Не установлены,Высокая,Пассивные
"64.71025558337182, -117.42597313717752",81.15988214997967,3.9,Песок,Плато,Высокая,Да,Неравномерное,1,Горизонтальные,Волнообразные,62,Дождь,Доступны,Не установлены,Высокая,Пассивные
"49.59781729647762, 124.6615067995017",79.17243900217538,7.2,Песок,Плато,Низкая,Да,Неравномерное,2,Горизонтальные,Волнообразные,70,Снег,Не доступны,Установлены,Высокая,Активные
"44.31737722809856, 71.35613418877213",79.4838349567508,3.9,Песок,Плато,Высокая,Да,Равномерное,6,Горизонтальные,Тектонические,65,Пасмурно,Доступны,Не установлены,Высокая,Пассивные
"6.679311497062315, 86.57147513781962",92.06916774111343,3.0,Песок,Плато,Средняя,Да,Неравномерное,8,Горизонтальные,Волнообразные,87,Пасмурно,Доступны,Не установлены,Низкая,Пассивные
"32.032030664924854, -159.35853815702364",95.66992737595028,7.1,Гравий,Плато,Средняя,Нет,Неравномерное,8,Сдвиговые,Волнообразные,16,Пасмурно,Не доступны,Не установлены,Средняя,Пассивные
"58.72555946078182, 115.12169105648144",20.291780965534244,5.8,Гравий,Равнина,Высокая,Нет,Неравномерное,4,Сдвиговые,Тектонические,3,Пасмурно,Доступны,Установлены,Средняя,Пассивные
"0.8141147506746893, 31.81328683014729",95.43527142301299,5.6,Гравий,Гора,Средняя,Нет,Равномерное,4,Сдвиговые,Волнообразные,24,Снег,Не доступны,Не установлены,Высокая,Пассивные
"17.672194231065976, 108.66842495781037",88.75019305842719,1.4,Глина,Гора,Высокая,Нет,Равномерное,3,Горизонтальные,Вулканические,57,Солнечно,Не доступны,Установлены,Средняя,Активные
"78.29758663744437, 18.59630912287605",6.739412727316773,3.6,Песок,Гора,Высокая,Нет,Равномерное,5,Сдвиговые,Вулканические,33,Снег,Не доступны,Установлены,Высокая,Пассивные
"81.42445395060409, -95.52927078858325",61.041802155879736,7.8,Скала,Равнина,Низкая,Нет,Неравномерное,2,Сдвиговые,Волнообразные,77,Снег,Не доступны,Не установлены,Низкая,Пассивные
"33.219244787380205, -14.347964531527282",67.78440175601006,5.7,Глина,Ложе реки,Высокая,Нет,Неравномерное,1,Горизонтальные,Вулканические,68,Дождь,Не доступны,Не установлены,Средняя,Активные
"0.29131680220210954, -45.86344308343604",12.009698296255156,2.1,Гравий,Плато,Низкая,Нет,Равномерное,8,Горизонтальные,Волнообразные,75,Снег,Доступны,Не установлены,Низкая,Пассивные
"43.5163735110148, 137.22471082003347",26.24169597678055,7.9,Гравий,Плато,Низкая,Нет,Неравномерное,5,Горизонтальные,Вулканические,14,Пасмурно,Доступны,Не установлены,Средняя,Пассивные
"68.34951193339371, 58.34766187015995",1.5675041622236026,3.6,Песок,Плато,Высокая,Да,Равномерное,8,Вертикальные,Вулканические,41,Солнечно,Доступны,Установлены,Низкая,Пассивные
"36.19303228785711, -112.32363120856806",52.213073142928984,3.7,Скала,Равнина,Низкая,Нет,Равномерное,2,Сдвиговые,Тектонические,45,Снег,Доступны,Не установлены,Низкая,Активные
"29.463772601180946, -165.29017212120345",36.96652204347817,2.6,Глина,Равнина,Высокая,Нет,Неравномерное,9,Сдвиговые,Тектонические,38,Солнечно,Не доступны,Не установлены,Высокая,Пассивные
"87.06579171826874, 89.7456692512668",15.595603323437066,1.6,Глина,Равнина,Средняя,Нет,Равномерное,2,Горизонтальные,Волнообразные,56,Солнечно,Не доступны,Не установлены,Средняя,Пассивные
"89.94039665559046, 42.00804503844472",16.73617015864349,1.7,Глина,Равнина,Высокая,Нет,Неравномерное,2,Горизонтальные,Волнообразные,23,Солнечно,Доступны,Не установлены,Низкая,Пассивные
"5.974984564498707, -53.829253213178234",34.610094839809925,7.9,Скала,Равнина,Низкая,Нет,Равномерное,8,Вертикальные,Вулканические,89,Снег,Доступны,Не установлены,Средняя,Активные
"28.970668664679355, 116.38255402845567",14.42751973071955,4.0,Скала,Плато,Высокая,Нет,Неравномерное,5,Сдвиговые,Волнообразные,59,Пасмурно,Не доступны,Установлены,Низкая,Пассивные
"15.28882641295933, 30.601941738880583",16.037341009061358,2.6,Песок,Ложе реки,Средняя,Да,Неравномерное,7,Вертикальные,Тектонические,68,Дождь,Доступны,Не установлены,Низкая,Пассивные
"18.160778720187277, -146.12842638803005",56.24524322100432,1.2,Скала,Равнина,Низкая,Нет,Неравномерное,2,Сдвиговые,Вулканические,68,Пасмурно,Доступны,Не установлены,Низкая,Активные
"58.74922008926403, -130.77859802567576",55.02576614031622,4.4,Песок,Ложе реки,Низкая,Да,Неравномерное,6,Сдвиговые,Вулканические,72,Дождь,Не доступны,Не установлены,Средняя,Активные
"57.26587805115859, 92.4094536103812",50.741119424334855,5.5,Скала,Гора,Высокая,Да,Равномерное,4,Горизонтальные,Волнообразные,83,Солнечно,Не доступны,Не установлены,Низкая,Пассивные
"77.31526824930789, 7.962874611570783",73.48701819893458,5.8,Гравий,Плато,Высокая,Нет,Неравномерное,5,Сдвиговые,Вулканические,40,Снег,Не доступны,Не установлены,Высокая,Пассивные
"57.966055898791545, -107.4086560706521",71.28860924642174,7.7,Скала,Равнина,Низкая,Да,Неравномерное,10,Сдвиговые,Вулканические,16,Солнечно,Доступны,Установлены,Высокая,Пассивные
"75.96644352287817, -88.10887934085265",1.8739322990311413,2.3,Песок,Плато,Средняя,Да,Равномерное,3,Вертикальные,Волнообразные,100,Пасмурно,Не доступны,Установлены,Высокая,Пассивные
"86.5602208695463, -31.942841218621936",70.24010510572529,2.9,Гравий,Гора,Низкая,Да,Равномерное,10,Вертикальные,Тектонические,47,Пасмурно,Доступны,Не установлены,Высокая,Пассивные
"29.660429014894994, 1.1018110416655702",20.570683761456383,7.9,Скала,Гора,Средняя,Нет,Неравномерное,10,Горизонтальные,Волнообразные,51,Дождь,Доступны,Не установлены,Средняя,Пассивные
"59.07272213059148, -70.31563393799748",10.923540452015722,1.9,Гравий,Плато,Низкая,Да,Неравномерное,8,Вертикальные,Вулканические,44,Снег,Не доступны,Не установлены,Низкая,Пассивные
"68.48728425091636, -44.388137172588046",48.291090295907395,1.4,Скала,Равнина,Средняя,Нет,Равномерное,1,Горизонтальные,Волнообразные,19,Снег,Не доступны,Установлены,Высокая,Пассивные
"54.41319256086069, -17.255310930451827",33.305841157096786,4.8,Песок,Равнина,Средняя,Да,Равномерное,5,Сдвиговые,Тектонические,29,Снег,Доступны,Не установлены,Высокая,Пассивные
"73.12196496603846, -19.57886395416628",1.132222331563697,4.9,Скала,Гора,Высокая,Нет,Неравномерное,10,Горизонтальные,Тектонические,28,Солнечно,Не доступны,Не установлены,Средняя,Пассивные
"35.82654408506362, -160.1469695933204",56.54652058090437,6.7,Гравий,Гора,Низкая,Нет,Неравномерное,3,Сдвиговые,Вулканические,58,Солнечно,Доступны,Установлены,Высокая,Активные
"63.595144848005106, 101.68439506701662",83.09671451664912,7.3,Глина,Гора,Высокая,Нет,Равномерное,7,Сдвиговые,Вулканические,62,Пасмурно,Доступны,Установлены,Высокая,Активные
"45.308942091384324, 152.99969356854956",54.77467054389198,1.3,Гравий,Гора,Низкая,Да,Неравномерное,8,Горизонтальные,Тектонические,5,Солнечно,Доступны,Не установлены,Средняя,Пассивные
"32.47419933635023, 78.7069357523228",10.397085425468097,5.7,Глина,Гора,Высокая,Нет,Неравномерное,7,Вертикальные,Вулканические,65,Дождь,Не доступны,Не установлены,Средняя,Пассивные
"71.31057350940776, -11.124677007119686",50.561875005845934,7.0,Скала,Гора,Средняя,Нет,Неравномерное,5,Сдвиговые,Вулканические,3,Дождь,Не доступны,Установлены,Средняя,Пассивные
"74.64943947987611, 166.67129601488006",31.052559441389178,7.4,Скала,Плато,Низкая,Нет,Равномерное,10,Вертикальные,Волнообразные,39,Солнечно,Доступны,Установлены,Низкая,Активные
"88.90035983993847, 24.78084006583049",20.79683987182735,1.3,Гравий,Равнина,Низкая,Нет,Равномерное,4,Сдвиговые,Волнообразные,89,Дождь,Не доступны,Установлены,Низкая,Пассивные
"44.33302825777093, 59.842608460156896",22.939988278501588,6.4,Песок,Равнина,Средняя,Нет,Равномерное,9,Вертикальные,Вулканические,64,Дождь,Не доступны,Не установлены,Средняя,Активные
"71.9643548570465, 173.89734484793308",19.23966044358893,7.5,Глина,Плато,Средняя,Нет,Равномерное,5,Сдвиговые,Тектонические,24,Дождь,Не доступны,Установлены,Высокая,Активные
"41.17646354835234, 41.73025624178172",73.27045411176432,7.1,Глина,Равнина,Низкая,Нет,Неравномерное,7,Сдвиговые,Волнообразные,77,Дождь,Не доступны,Установлены,Низкая,Пассивные
"51.86764743195817, -161.7338663625685",9.876647626749747,1.4,Скала,Ложе реки,Низкая,Да,Неравномерное,3,Сдвиговые,Вулканические,81,Солнечно,Не доступны,Установлены,Высокая,Пассивные
"38.37795692029537, -150.83974285134465",48.66077736958853,2.3,Гравий,Плато,Низкая,Нет,Равномерное,3,Горизонтальные,Тектонические,38,Снег,Не доступны,Не установлены,Низкая,Пассивные
"7.8358853445325956, -143.6658127916091",60.14519440098008,2.6,Гравий,Ложе реки,Высокая,Да,Равномерное,10,Сдвиговые,Вулканические,56,Пасмурно,Не доступны,Не установлены,Низкая,Активные
"31.19901504057818, 153.5639065443446",49.13104042027809,1.3,Скала,Гора,Высокая,Нет,Неравномерное,2,Сдвиговые,Тектонические,89,Дождь,Не доступны,Не установлены,Высокая,Активные
"26.267549459227617, -10.571865002866616",63.589632757671026,2.9,Глина,Гора,Низкая,Да,Равномерное,7,Сдвиговые,Тектонические,60,Дождь,Не доступны,Установлены,Высокая,Активные
"9.353321593681107, -59.9417414339358",4.030756702922996,6.0,Скала,Ложе реки,Низкая,Да,Неравномерное,9,Вертикальные,Волнообразные,13,Солнечно,Доступны,Установлены,Высокая,Активные
"67.25805622226036, 96.61193964650414",83.23843180113808,6.9,Глина,Равнина,Средняя,Да,Равномерное,4,Горизонтальные,Волнообразные,70,Солнечно,Доступны,Не установлены,Низкая,Активные
"36.00833209691781, 135.42933000655904",16.275073092960547,6.1,Гравий,Плато,Высокая,Нет,Равномерное,6,Горизонтальные,Тектонические,63,Пасмурно,Не доступны,Установлены,Средняя,Активные
"27.397877282606487, -132.87058370216414",64.21960888638489,7.2,Скала,Равнина,Средняя,Да,Равномерное,1,Горизонтальные,Вулканические,44,Снег,Доступны,Не установлены,Средняя,Пассивные
"56.10783485109221, -23.479233059024352",75.87061178291542,7.4,Глина,Равнина,Средняя,Да,Равномерное,10,Горизонтальные,Тектонические,70,Пасмурно,Доступны,Установлены,Средняя,Активные
"36.00454602954536, 129.65549825516558",92.87720833796668,2.7,Песок,Гора,Низкая,Да,Равномерное,8,Сдвиговые,Волнообразные,29,Снег,Не доступны,Не установлены,Высокая,Пассивные
"50.95157639182799, 40.89348844601119",53.443569282156716,3.4,Гравий,Гора,Высокая,Да,Неравномерное,3,Сдвиговые,Волнообразные,30,Снег,Доступны,Установлены,Средняя,Пассивные
"2.0567621597541983, 134.11289764279917",40.737241260351944,6.8,Скала,Ложе реки,Высокая,Нет,Неравномерное,3,Вертикальные,Тектонические,2,Снег,Доступны,Установлены,Низкая,Пассивные
"27.412436641944687, -121.95050193588541",74.91183633341736,4.6,Песок,Ложе реки,Высокая,Да,Неравномерное,4,Горизонтальные,Волнообразные,20,Снег,Не доступны,Не установлены,Средняя,Активные
"86.37707872245973, -87.86836853155478",24.25092605507762,3.4,Песок,Гора,Средняя,Да,Неравномерное,4,Горизонтальные,Волнообразные,88,Снег,Доступны,Не установлены,Высокая,Пассивные
"83.02649504798022, 106.070724476066",90.61745610443995,5.3,Глина,Ложе реки,Низкая,Да,Равномерное,2,Горизонтальные,Тектонические,5,Дождь,Доступны,Установлены,Средняя,Пассивные
"68.34827038817662, -26.44850612247862",10.06802316370939,7.7,Гравий,Равнина,Низкая,Нет,Равномерное,3,Сдвиговые,Волнообразные,96,Пасмурно,Доступны,Установлены,Низкая,Пассивные
"49.20158136173314, 155.37973333821674",64.90079758112427,2.8,Глина,Гора,Высокая,Да,Неравномерное,5,Горизонтальные,Вулканические,90,Дождь,Не доступны,Установлены,Низкая,Активные
"11.311714648461619, 13.5052263529291",91.70474606214745,4.7,Гравий,Ложе реки,Низкая,Нет,Равномерное,7,Сдвиговые,Волнообразные,73,Пасмурно,Не доступны,Установлены,Средняя,Активные
"87.38273949491595, 123.65629470416513",93.45120596323927,8.0,Гравий,Равнина,Средняя,Да,Равномерное,3,Горизонтальные,Тектонические,28,Пасмурно,Не доступны,Не установлены,Высокая,Пассивные
"38.58917913161047, 4.4007425821043",33.1575978021665,4.2,Гравий,Гора,Низкая,Да,Неравномерное,4,Сдвиговые,Вулканические,16,Солнечно,Доступны,Не установлены,Низкая,Пассивные
"25.85703184535749, -76.51883424951356",35.00751439378214,5.8,Гравий,Гора,Высокая,Нет,Неравномерное,1,Вертикальные,Тектонические,15,Солнечно,Доступны,Не установлены,Высокая,Активные
"50.809390037800114, 78.99294258245652",29.587315540234787,4.5,Скала,Равнина,Средняя,Да,Неравномерное,5,Вертикальные,Волнообразные,18,Снег,Не доступны,Не установлены,Высокая,Пассивные
"70.95704382087973, 64.99357703090422",52.38227884432652,6.4,Песок,Гора,Низкая,Да,Равномерное,9,Горизонтальные,Волнообразные,51,Дождь,Не доступны,Не установлены,Средняя,Активные
"67.2697045492065, 18.804929877670077",91.17390381588704,7.0,Песок,Ложе реки,Низкая,Нет,Неравномерное,3,Сдвиговые,Вулканические,48,Солнечно,Не доступны,Установлены,Низкая,Активные
"81.32211395691655, -92.93311255663336",28.50005975093037,7.9,Гравий,Гора,Высокая,Нет,Равномерное,3,Горизонтальные,Волнообразные,70,Солнечно,Доступны,Установлены,Высокая,Активные
"2.158339949469543, -13.7981872467563",81.2519878177412,6.3,Глина,Гора,Средняя,Нет,Неравномерное,5,Вертикальные,Вулканические,15,Пасмурно,Не доступны,Установлены,Высокая,Активные
"74.68127272375789, 74.6350398929882",83.2700235963798,2.8,Гравий,Гора,Средняя,Нет,Неравномерное,2,Сдвиговые,Вулканические,66,Дождь,Доступны,Установлены,Средняя,Активные
"6.517969674507608, 154.94443396513333",50.91088769413959,1.9,Скала,Ложе реки,Средняя,Нет,Неравномерное,6,Вертикальные,Вулканические,49,Дождь,Доступны,Не установлены,Низкая,Пассивные
"77.15614195794649, 82.03171261933",69.43004300416261,3.0,Гравий,Ложе реки,Средняя,Да,Равномерное,5,Горизонтальные,Тектонические,53,Снег,Не доступны,Установлены,Низкая,Активные
