День недели,Месяц,Время суток,Праздничные дни,Класс обслуживания,Кол-во оставшихся билетов,Направление полета,Продолжительность полета,Авиакомпания,Тип воздушного судна,Температура воздуха,Осадки,Скорость ветра,Наличие мероприятий,Наличие местных праздников,Наличие праздников выходного дня,Кол-во бронирований,Кол-во проданных билетов,Кол-во пассажиров на борту,Средняя цена билета,Рейтинг авиакомпании,Рейтинг аэропорта
Sunday,05,ночь,False,бизнес,7,field,3,Miller Inc,defense,19,Снег,47,True,False,False,167,109,136,495,2,1
Saturday,05,вечер,False,эконом,300,conference,1,Goodwin and Sons,weight,-15,Снег,31,True,False,True,2,82,54,170,3,5
Wednesday,08,день,True,эконом,30,true,24,Morgan-Barnes,five,6,Дождь,7,False,False,True,42,152,45,406,2,2
Friday,01,день,True,эконом,86,up,22,"Smith, Sanchez and White",similar,40,Дождь,38,True,True,True,181,164,134,866,1,2
Wednesday,03,вечер,True,бизнес,129,employee,7,Thomas-Benton,blood,-12,Облачно,5,False,True,True,90,188,237,325,4,2
Thursday,07,утро,True,бизнес,295,others,8,"Alvarez, Adams and Holder",mind,-19,Солнечно,15,False,False,True,157,108,214,765,1,4
Tuesday,10,день,True,эконом,299,unit,7,"Cook, Butler and Cruz",budget,12,Снег,40,False,False,False,13,91,72,967,5,1
Saturday,07,ночь,False,эконом,233,lay,10,Gray-Clark,dream,33,Облачно,23,False,True,True,18,146,277,323,5,2
Wednesday,06,вечер,True,первый класс,76,change,3,"Gardner, Smith and Mccullough",left,-16,Облачно,21,True,False,True,134,84,111,366,4,1
Friday,06,вечер,False,первый класс,18,throughout,16,Mason Group,good,39,Дождь,37,False,True,False,70,85,173,809,4,4
Wednesday,05,ночь,True,первый класс,292,growth,15,Lara-Figueroa,blue,1,Солнечно,7,False,True,True,132,139,248,409,5,3
Saturday,07,ночь,False,эконом,159,new,12,Torres Group,direction,-10,Солнечно,27,True,False,True,19,122,48,187,5,2
Wednesday,12,ночь,True,эконом,255,garden,8,Young-Lee,situation,19,Дождь,50,False,False,True,161,73,6,161,5,3
